study_label,item_type,frame_tag,verbatim_quote,page,cited_work,note
Schneider (2010),frame_use,SIG,"Under current accounting standards, firms with relatively poor environmental performance can keep many of the related liabilities off their balance sheets",3,,"information opacity: contingent env liabilities stay off balance sheet, unobservable to creditors"
Schneider (2010),mechanism_extra,,"Environmental laws passed in recent decades often subordinate the rights of creditors on a firm’s assets to remediation and clean-up costs. A firm’s operating sites and facilities that might act as collateral can become a liability, rather than an asset, when they are associated with polluting operations.",3,,"claim-priority plus collateral channel: creditors subordinated, assets become liabilities"
Schneider (2010),mechanism_extra,,"Poor environmental performance in a given industry also indicates that a firm has fallen behind its peers in keeping up with technological advances, and that future expenditures will be required just to catch up with its peers.",4,,technology-lag channel: poor performers face future catch-up capital expenditure
Schneider (2010),counter,,"While bankruptcy remains a remote risk, bondholders may not be as concerned over a firm’s environmental performance as equity holders, as it is highly unlikely they will be forced to become the firm’s owners.",3,,author claim: concave pay-off insulates bondholders while default remote
Schneider (2010),counter,,"For firms in polluting industries, environmental risk is one of the major idiosyncratic risks faced, which leads me to expect that it will fade as a determinant of bond pricing as bond quality increases.",8,,H2 attenuation: idiosyncratic env risk displaced by systemic/liquidity factors at high grades
Schneider (2010),counter,,"A number of papers exploring the determinants of firms’ bond pricing include bond rating as a control variable, only to find that it subsumes the variable of interest.",21,,ratings-subsumption caveat: bond rating absorbs the environmental variable
Schneider (2010),paris_policy,,"As we move into an era of carbon cap and trade, quantification of environmental performance will become an even more important part of firms’ operations.",6,,pre-Paris climate-policy amplification: carbon cap-and-trade raises salience of env metrics
Schneider (2010),key_citation,,"The second aspect is motivated by Easton et al. (2009), who explore the role that earnings play in the bond market. They find that the relation between earnings and bond returns is conditioned on the riskiness of the bond.",4,Easton et al. (2009),source of the conditioning logic behind Hypothesis Two
Schneider (2010),key_citation,,"The bond pay-off is described as one that can be replicated by taking a long position in the firm’s assets and then taking a short position on a call option on the same assets (Merton, 1973).",7,"Merton, 1973",contingent-claims foundation for the non-linear bond pay-off argument
Schneider (2010),key_citation,,"Porter and van der Linde (1995) propose that a strategy of better relative environmental performance is a choice taken by more innovative firms and is related to creating a competitive advantage (as per the Porter model, [Porter, 1990]).",4,Porter and van der Linde (1995),competitive-advantage anchor; footnote ties env performance to creditworthiness
Schneider (2010),status,,,,,"SSRN working paper (accounting), U.S. pulp/paper and chemical bonds; theory sits in intro plus Section 2 pay-off-structure and hypotheses; pre-Paris, so only a passing carbon cap-and-trade claim."
Seltzer et al (2022),frame_use,RISK,This suggests that regulation is a major channel through which climate and other types of environmental risks get embedded in security prices.,1,,regulatory risk as the channel embedding climate risk in security prices; authors' own framing
Seltzer et al (2022),mechanism_extra,,"In particular, environmental regulatory costs can have significant effects on firms’ operating costs and cash flows (Karpoff, Lott, and Wehrly, 2005). Moreover, uncertainty about future regulation itself poses costs to firms and their investors (Pindyck, 1993).",1,,regulatory cost + regulation-uncertainty channel to cash flows
Seltzer et al (2022),mechanism_extra,,"for many corporations, the bond market, rather than the equity market, is the marginal source of finance. Further, climate and environmental risks are fundamentally downside risks for most firms.",1,,downside-risk asymmetry: debt prices climate risk more than equity
Seltzer et al (2022),mechanism_extra,,"Thus, even when two firms have objectively similar levels of environmental quality, depending on the local regulatory conditions of their facility locations, these firms can face different degrees of regulatory risks.",2,,enforcement-location exposure moderates identical environmental quality
Seltzer et al (2022),paris_policy,,We hypothesize that the Paris Agreement shock resulted in firms with poor environmental practices or high carbon footprints facing greater climate regulatory risks relative to other firms. The increased risks should then be reflected in changes in firms’ bond credit ratings and spreads.,20,,core Paris hypothesis: expected regulation raises brown firms' credit risk
Seltzer et al (2022),paris_policy,,"Given that the expected tightening of environmental regulations following the Paris Agreement would presumably be carried out under a state-enforcement regime, we hypothesize that any effects on credit ratings and yield spreads should be stronger for issuers operating in high-enforcement states.",5,,Paris effect amplified by state enforcement regime; triple-diff hypothesis
Seltzer et al (2022),counter,,The initial increase in yield spreads for firms with low environmental profiles somewhat subsides in later months. One explanation for the partial reversals is the uncertainty surrounding what policy changes would ultimately result from the Agreement.,28,,attenuation: policy uncertainty over Paris implementation reverses spread effect
Seltzer et al (2022),counter,,The partial reversals are consistent with the argument that ratings agencies are only comfortable adjusting ratings after a clear and definitive change in climate policy.,37,,attenuation: rating agencies adjust only after definitive policy change
Seltzer et al (2022),key_citation,,"Our evidence that corporate bond investors demand higher interest rates from issuers with poor environmental performance is consistent with earlier work on the higher cost of bank loans for firms with poorer environmental performance (Chava, 2014)",6,"Chava, 2014",anchor for environmental performance to cost of debt
Seltzer et al (2022),key_citation,,"In addition, Karpoff, Lott, and Wehrly (2005) provide evidence that a firm’s equity investors respond negatively to new information regarding EPA violations and that this response is tied to the expected legal penalties.",9,"Karpoff, Lott, and Wehrly, 2005",anchor for regulatory/legal cost pricing of EPA violations
Seltzer et al (2022),key_citation,,"Of the three components of climate risk (physical, technological and regulatory), regulatory risk is the one that investors and others in the finance community believe has the most immediate relevance (Krüger, Sautner, and Starks, 2020; Stroebel and Wurgler, 2021).",1,"Krüger, Sautner, and Starks, 2020",anchor for regulatory risk being investors' most immediate climate risk
Seltzer et al (2022),status,,,,,"SSRN working paper (finance, later RFS); empirical event-study design, theory concentrated in intro and Section 4 hypothesis development."
Shad et al (2022),frame_use,SIG,"Moreover, the reduction in the cost of capital can be explained through risk mitigation and information asymmetry reduction resulting from transparent reporting provided by sustainability reports to relevant stakeholders.",pdf-3,,"core author claim: transparency cuts information asymmetry, lowers cost of capital"
Shad et al (2022),frame_use,RISK,Firms with sound environmental sustainability reporting should have lower systematic risk (beta) resulting in a lower cost of capital.,pdf-4,,"H3 argument: environmental reporting lowers systematic risk (beta), hence cost of capital"
Shad et al (2022),frame_use,STAKE,"Sustainability reporting not only helps companies to respond to the growing expectations of the relevant stakeholders but also improves environmental legitimacy, reduces information asymmetry, and increases brand value and compliance with labor laws, which ultimately improves corporate image and attracts new talent",pdf-2,,legitimacy/stakeholder-expectations channel; environmental legitimacy and corporate image
Shad et al (2022),frame_use,AGENCY,"The value-destruction theory predicts that companies engaged in environmental and social sustainability lose focus on profit, and instead pursue satisfying other stakeholders at the expense of shareholders (Alshehhi et al. 2018).",pdf-8,,named value-destruction theory: env/social spending at shareholders' expense
Shad et al (2022),mechanism_extra,,"Companies with higher sustainability ratings should be able to borrow at lower interest rates than firms with lower sustainability ratings, all else equal (Watts 2018).",pdf-3,,credit-rating channel: sustainability ratings translate into lower borrowing rates
Shad et al (2022),mechanism_extra,,"Improving corporate environmental performance could increase the efficiency of a company, improve its financial situation, and meet the demands of its stakeholders.",pdf-4,,efficiency/operating-performance channel from environmental performance
Shad et al (2022),counter,,"Social sustainability reporting shows no relation to the cost of debt or equity capital, which might be explained by the lack of reporting in the areas of anti-corruption, human rights, and diversity likely due to the absence of legislation on transparency policies and procedures",pdf-10,,null result rationalized by thin disclosure and missing transparency legislation
Shad et al (2022),key_citation,,The value-creation notion of sustainability reporting hypothesizes that firms with high social sustainability performance exhibit lower idiosyncratic or unsystematic risk (Alshehhi et al. 2018).,pdf-4,Alshehhi et al. 2018,anchor for value-creation vs value-destruction risk framing
Shad et al (2022),key_citation,,"According to Clark et al. (2014), good employee relations and product safety lead to a lower cost of capital by reducing firm-specific uncertainties,",pdf-4,Clark et al. (2014),anchor: firm-specific uncertainty reduction lowers cost of capital
Shad et al (2022),key_citation,,"Ng and Rezaee (2015) argue that the interaction of economic performance with improved environmental, social, and governance performance reduces the cost of equity.",pdf-3,Ng and Rezaee (2015),H1 anchor: sustainability performance interaction lowers cost of equity
Shad et al (2022),status,,,,,"Environ Sci Pollut Res empirical paper on Malaysian oil and gas (2008-2017); journal masthead dates it 2020; theory is thin and borrowed (information asymmetry, risk mitigation, value-creation vs value-destruction); no Paris/climate-policy claims."
Shi et al (2025),frame_use,SIG,"Compared with voluntary disclosures, compliance-based CEP is more closely related to actual business costs and regulatory outcomes. As a result, it sends a clearer and more cred­ ible signal to investors, helping them make more informed financing decisions.",3,,paper's core signalling claim: compliance-based CEP is a credible investor signal
Shi et al (2025),frame_use,RISK,"Firms that fail to comply with environmental regulations may face fines, lawsuits, or forced shutdowns, all of which increase credit risk. Conversely, firms that proactively manage environmental issues are more likely to be viewed as stable, future-oriented, and aligned with regulatory expecta­ tions",3,,"regulatory/credit-risk channel; both directions, authors' own framing"
Shi et al (2025),frame_use,STAKE,"Therefore, by aligning with societal expectations, superior environmental performance enhances corporate legitimacy, which in turn reduces perceived risks and lowers debt financing costs",3,,legitimacy theory; authors' own predicted negative CEP-COD link
Shi et al (2025),frame_use,AGENCY,"Creditors, who prioritize financial returns and risk control, may perceive substantial environmental investments as finan­ cially inefficient, particularly if such expenditures do not yield imme­ diate financial benefits",3,,cost-burden/overinvestment view; paper labels it stakeholder theory
Shi et al (2025),counter,,"most existing studies measure CEP from a volun­ tary perspective, often relying on process-oriented indicators and self-reported data. This approach makes them vulnerable to green­ washing and selective reporting",2,,signal-credibility counter: voluntary self-reported CEP proxies are greenwashing-prone
Shi et al (2025),counter,,"Companies may exaggerate positive outcomes or withhold negative information in self-reports to avoid reputational and financial harm (Han et al., 2016; Lyon and Maxwell, 2011; Wang et al., 2017). This practice undermines the accuracy of the information avail­ able to investors.",5,,greenwashing argument inside construct-measurement section; degrades investors' information
Shi et al (2025),counter,,"the informational value of environmental performance for investment decisions may be diminished in the case of SOEs, reducing its influence on debt financing costs",4,,conditional attenuation: implicit state guarantees crowd out the environmental signal
Shi et al (2025),paris_policy,,"In the European Union, companies are facing rising compliance burdens and financial risks from mechanisms like the Carbon Border Adjustment Mechanism (CBAM), which penalizes carbon-intensive production",1,,climate-policy amplification: CBAM raises compliance burden and financial risk
Shi et al (2025),key_citation,,"Legitimacy theory underscores the importance of aligning a company’s actions with socially accepted norms, particularly in the context of debt financing (Deegan et al., 2002; Gunningham et al., 2004; Suchman, 1995)",3,"Suchman, 1995",legitimacy-theory anchor
Shi et al (2025),key_citation,,"superior environmental performance enhances corporate legitimacy, which in turn reduces perceived risks and lowers debt financing costs (Barney and Harrison, 2020; Freeman, 2010; Freeman et al., 2020)",3,"Freeman, 2010",stakeholder-theory anchor for competing prediction
Shi et al (2025),key_citation,,"compliance-oriented measures are more directly tied to regulatory and operational risks that are central to creditors’ risk assessments, thus providing a clearer theoretical basis for understanding how environmental performance affects debt financing costs (Cai et al., 2016)",2,"Cai et al., 2016",anchor for compliance-based CEP as creditor-relevant risk proxy
Shi et al (2025),status,,,,,Journal of Environmental Management empirical article; China compliance-based CEP ratings and debt cost; theory in Section 2 plus greenwashing argument inside measurement section.
Srivisal et al (2021),frame_use,SIG,"Having a coverage by ESG rating provider also means that a company must disclose adequate extra-financial information for evaluation, which is also beneficial to investors and creditors due to the lesser asymmetric information problem.",164,,ESG coverage as disclosure reducing information asymmetry for creditors; own claim
Srivisal et al (2021),frame_use,STAKE,"Once a company is covered, based on the stakeholder theory suggested by Freeman (1984; 1994), and Freeman and Evan (1990), the ESG scores may signal how well it can manage its relationship with customers, clients, suppliers, workers and the community, the sources for financial wealth of a company.",165,,stakeholder theory named; ESG signals stakeholder-relationship quality
Srivisal et al (2021),frame_use,RISK,"The next strand of literature, which is most relevant to the interest of our paper, attempted to explain the link between ESG and firm performance by looking at risk mitigation effect. Arguably, better ESG disclosure or practice could help reduce financial risk implicitly through better accountability and stakeholder management.",168,,risk-mitigation frame the paper adopts as its own channel
Srivisal et al (2021),mechanism_extra,,"Hence, firms failing to disclose adequate information to be assessed by an ESG score provider, regardless of their actual ESG culture, may face relatively higher cost imposed by these external factors, especially in Japan and China where ESG-supportive laws and governmental policies have become more vital",164,,external-pressure/regulatory cost channel for non-disclosers; own H1 mechanism
Srivisal et al (2021),mechanism_extra,,Weber et al. (2008) and Weber (2012) argued that environmental risks of borrowers could affect overall credit risk and suggested that lending banks integrate environmental risks into their credit risk management.,168,,lender-side channel: banks integrate borrower environmental risk into credit risk; cited
Srivisal et al (2021),mechanism_extra,,"A Japanese company with poor environmental management could be severely punished by clients and partners and, in turn, affected by poorer company’s business outlook.",179,,product-market/partner punishment for poor env performance worsens outlook; own claim
Srivisal et al (2021),counter,,"Nevertheless, social responsibility comes at a cost. Hahn et al. (2010) and Winn et al. (2012) argued that there generally was a trade-off between a company’s business objectives and sustainability.",176,,cost-burden/trade-off counter used to rationalise negative social-pillar link
Srivisal et al (2021),counter,,"the strong support from the government, either through official subsidy programs or privileges from political connections, could be regarded by some investors or credit providers as positive effect on credit risk reduction. Consequently, it is possible that the effect of ESG on creditworthiness of firms is weak in China",166,,"state support/political connections substitute for ESG, weakening link; own prediction"
Srivisal et al (2021),key_citation,,"Another part of the literature, which also attempted to explain the effect of ESG on financial performance, argued on the basis of the stakeholder theory as initially discussed in Freeman (1984; 1994), and Freeman and Evan (1990).",167,"Freeman (1984; 1994), and Freeman and Evan (1990)",stakeholder theory anchor of the paper
Srivisal et al (2021),key_citation,,The positive contribution of environmental score to credit rating found in Japan herein is as well observed in Canadian and European markets in which Weber (2012) and Weber et al. (2008) respectively documented that banks integrated environmental risk into their credit risk management when lending to their clients.,179,Weber (2012) and Weber et al. (2008),environmental credit-risk-integration anchor; cited in review and discussion
Srivisal et al (2021),key_citation,,"Attig et al. (2013) found that credit rating providers tended to give better rating for firms with good social performance, as CSR performance could convey non-financial information helpful for assessing creditworthiness.",168,Attig et al. (2013),information-conveyance anchor for CSR-to-credit-rating link
Srivisal et al (2021),status,,,,,Asian Academy of Management Journal of Accounting and Finance; empirical ordered-logit study of ESG and issuer credit ratings in China/Japan; theory is light and mostly in intro/literature review; no Paris-Agreement or climate-policy claims.
Sze et al (2021),frame_use,RISK,"One plausible explanation is that investors are particularly concerned about the ESG performance of those firms from high GHG emissions sectors, as their business performance is subject more to climate-related risks, particularly the transition risk.",4,,climate/transition risk drives investor concern for high-GHG firms; authors' own
Sze et al (2021),frame_use,STAKE,"Specifically, the stakeholder theory posits that firms should uphold the interest of their stakeholders by addressing their sustainability concerns. By doing so, firms are rewarded with a lower cost on their debts.",6,,stakeholder theory: addressing stakeholder concerns rewarded with lower debt cost
Sze et al (2021),frame_use,AGENCY,Positive sign: Investment in ESG related activities may be regarded as a waste of resource (“Overinvestment view”) which may result in higher OAS.,22,,overinvestment view: ESG spend as waste of resources raising OAS; competing hypothesis
Sze et al (2021),mechanism_extra,,"Theoretically, firms operating in a country with a greater awareness of sustainability issues may be subject to stricter legal requirements, monitoring and enforcement of sustainability-related issues such that these firms may have a higher incentive to improve their ESG performance.",7,,"country channel: stricter legal requirements, monitoring, enforcement raise ESG incentives"
Sze et al (2021),paris_policy,,"probably reflecting that the Agreement increased the awareness of firms in the region to climaterelated risks, and signalled a strong commitment by policymakers to tackle such risks. Together these factors may push investors to price-in such risks in their debt funding costs.",5,,"amplification: Paris raised awareness and signalled policymaker commitment, investors price in"
Sze et al (2021),paris_policy,,"In particular, with more governments announcing their “net zero carbon emission” targets, the transition risk faced by firms might be disorderly if authorities start to take material action to reduce greenhouse gases; and the policy or changes may come earlier than previously anticipated.",5,,"amplification: net-zero targets make transition disorderly, policy may arrive earlier"
Sze et al (2021),counter,,"Given that ESG-related risks would be structurally different from traditional types of risks, investors may take a longer time horizon to price in ESG-related risks. This may suggest that a firm’s ESG performance may have a persistent effect on the OAS.",15,,"diffusion lag: ESG risks priced over longer horizon, contemporaneous link weak"
Sze et al (2021),counter,,The lack of consistent and comparable ESG data means that ESG-related vulnerabilities might not be adequately incorporated into asset prices when investors have started to price in ESG risks in funding corporate debt.,19,,measurement noise: inconsistent ESG data leaves risks inadequately priced
Sze et al (2021),key_citation,,"The findings of recent studies show that a firm with a better ESG performance tends to have a profile of lower downside risks, consistent with the risk mitigation view (Goss and Roberts, 2011).",6,"Goss and Roberts, 2011",named anchor for the risk mitigation view
Sze et al (2021),key_citation,,"Palea & Drogo (2020) show that while high emitters had already been charged a higher premium before the Paris Agreement, firms operating in less polluting sectors started being charged a higher spread after the Agreement.",7,Palea & Drogo (2020),anchor for Paris-Agreement shift in emission pricing of debt
Sze et al (2021),key_citation,,"Consistent with this theoretical argument, Eliwa et al. (2019) and Stellner et al. (2015) find a negative relationship between countries’ sustainability performance and firms’ cost of debt for developed economies",7,Stellner et al. (2015),anchor for country sustainability moderating firm cost of debt
Sze et al (2021),status,,,,,"HKIMR Working Paper No.30/2021; empirical EMEAP bond study, thin theory carried in a short literature review, footnotes and the variable-interpretation table."
Tan et al (2021),frame_use,RISK,"the uncertainty of firms' future cash flows and ability to repay debt, increasing their credit risk.",464,,air pollution raises cash-flow uncertainty and credit risk; authors' framing
Tan et al (2021),frame_use,SIG,"information asymmetry increases, bond investors discount the value of bonds, resulting in bond price drops and bond yield spread increases.",465,,second pillar of conceptual framework: opacity channel raises spread
Tan et al (2021),frame_use,STAKE,"Regardless of whether these capital providers are simply concerned about the immediate business and debt default risks or the long-term costs of climate change, our result confirms a social responsibility consideration within their lending decisions.",480,,social-responsibility motive imputed to lenders; authors' discussion claim
Tan et al (2021),frame_use,AGENCY,"shareholders increase the monitoring costs and the credit risk faced by banks and, in turn, raise the cost of debt for the borrower.",467,,monitoring-cost/hazard logic underpinning H3A; cited from Lin et al.
Tan et al (2021),mechanism_extra,,Capital providers of bond markets appear to consider environmental risks in their lending decisions in addition to the standard measures of financial performance.,480,,lender-screening channel: environmental risk priced beyond financials
Tan et al (2021),counter,,that firms with more active internal or external monitoring are more responsible for managing business risk to reduce financial uncertainty.,467,,conditional: pollution penalty attenuated by governance/monitoring
Tan et al (2021),counter,,"with high carbon risks, Lenders can choose to impose more strict terms for debt contracts as alternatives for a higher cost of debt.",480,,covenant substitution; authors say COD effect may be underestimated
Tan et al (2021),paris_policy,,"hold entities liable to pay a price for carbon emissions,",466,,"carbon pricing prices emitters, yet penalty extends to all local firms"
Tan et al (2021),key_citation,,"(Jung et al., 2018). Physical risk is the risk directly associated with cli-",466,Jung et al. (2018),carbon-risk taxonomy (physical/regulatory/business) anchors whole framework
Tan et al (2021),key_citation,,Fisher (1959) suggests that default risk is the most important deter-,464,Fisher (1959),default-risk pricing of bond yields; first pillar of framework
Tan et al (2021),key_citation,,"fossil fuels (Hoffmann & Busch, 2008). Among carbon risk studies,",465,"Hoffmann & Busch, 2008",definition of carbon risk used to frame air pollution as carbon risk
Tan et al (2021),status,,,,,"Business Strategy and the Environment research article; China bond-yield-spread study using city air quality as carbon-risk proxy; two-column text is heavily interleaved, so contiguous quotes are short; no Paris Agreement content."
Tan et al (2026),frame_use,SIG,"the uncertainty reduction hypothesis posits that standardized disclosure alleviates the information uncertainty faced by lenders, thereby lowering the ambiguity premium embedded in financing costs",pdf-1,,uncertainty reduction: disclosure cuts lenders' ambiguity premium; author's framing
Tan et al (2026),frame_use,RISK,"capital markets have already begun to price these physical and transition risks, resulting in higher financing costs for exposed firms. Investors increasingly view climate exposure as a material financial risk and demand a higher risk premium to compensate for the associated uncertainty.",pdf-3,,climate exposure priced as material risk; creditors demand risk premium
Tan et al (2026),frame_use,STAKE,"Overall, climate risk disclosure is not only a core element of firms' responses to the climate crisis, but also a key manifestation of their environmental accountability and responsiveness to stakeholder expectations.",pdf-3,,disclosure as environmental accountability meeting stakeholder expectations
Tan et al (2026),counter,,whether climate risk disclosure systematically reduces firms' cost of capital by alleviating information asymmetry or instead increases financing costs by revealing previously unpriced latent risks.,pdf-1,,core tension: disclosure may reveal unpriced latent risk and raise cost
Tan et al (2026),mechanism_extra,,"Through these channels, disclosure can contribute to improved risk management and lower effective default risk over time, even if firms' objective exposure to climate shocks remains unchanged (Ilhan et al. 2021).",pdf-4,,"real-effects channel: disclosure improves risk management, lowers effective default risk"
Tan et al (2026),counter,,"Moreover, the impact of physical climate risks on the cost of equity capital may be more delayed and long-­term, rather than directly affecting current debt financing costs.",7,,"physical-risk effects delayed and long-term, not priced in current debt cost"
Tan et al (2026),paris_policy,,"The transition toward a low-­carbon economy is likely to produce asymmetric outcomes across industries, with fossil fuel-­intensive sectors facing heightened transition pressures, while industries providing low-­carbon technological solutions are expected to experience stronger growth prospects (Hugues 2019).",pdf-3,,low-carbon transition asymmetric: fossil-fuel-intensive sectors face heightened pressure
Tan et al (2026),paris_policy,,"With the support and guidance of national policies to achieve the “carbon peak” and “carbon neutrality” targets, when companies actively respond to transition risks and disclose them in their annual reports, it indicates that these companies are more proactively responding to policies.",8,,carbon peak/neutrality targets: transition-risk disclosure signals policy alignment
Tan et al (2026),key_citation,,"tend to adopt conservative pricing strategies and embed precautionary uncertainty premia into loan contracts, resulting in higher borrowing costs (Diamond and Verrecchia 1991).",pdf-4,Diamond and Verrecchia 1991,core disclosure anchor: opacity drives precautionary uncertainty premia
Tan et al (2026),key_citation,,"On the other hand, the proprietary cost perspective suggests that detailed reporting may inadvertently reveal latent transition risks or regulatory vulnerabilities previously unknown to the market, prompting creditors to price in these newly exposed threats (Verrecchia 1983).",pdf-2,Verrecchia 1983,proprietary-cost anchor for the disclosure-raises-cost counter-hypothesis
Tan et al (2026),key_citation,,"These results are consistent with stakeholder theory, which posits that enhanced climate risk disclosure improves firms' engagement with multiple stakeholders by reducing uncertainty surrounding climate-­related physical and transition risks, thereby facilitating creditors' risk assessments and lowering borrowing costs (Sautner et al. 2023).",2,Sautner et al. 2023,cited as stakeholder-theory anchor for disclosure lowering borrowing costs
Tan et al (2026),status,,,,,"International Review of Finance empirical study of Chinese A-share firms; theory framed as uncertainty-reduction vs proprietary-cost; no Paris Agreement mention, climate policy enters as China's carbon peak/neutrality targets."
Tang et al (2023),frame_use,SIG,"information asymmetry may be much severer, given the long maturities and unfamiliar features of the bonds. In this case, investors may increase the risk premium, which in turn increases the cost of debt for green bond issuers.",3,,"author's own H1 argument: information asymmetry raises risk premium, EID lowers it"
Tang et al (2023),frame_use,RISK,"Investor expectations of risk are a key factor which determines the cost of bond financing, and CSR performance has a significant impact on corporate risk taking.",11,,"expected-risk channel: disclosure lowers issuer risk-taking, hence financing cost"
Tang et al (2023),frame_use,STAKE,"A firm's investment in corporate social responsibility (CSR) builds a positive image and provide potential economic benefits to the firm due to a positive reputation effect (Verschoor, 2005).",11,,reputation effect as moderator of EID-spread link; cited premise
Tang et al (2023),mechanism_extra,,"Therefore, green bonds with high-quality EID can attract more socially responsible investors. Given the greenness of green bonds and their associated projects, socially responsible investors may trade off the financial dimensions and the non-financial dimensions of performance.",3,,investor-base/clientele channel: SRI investors accept lower financial returns
Tang et al (2023),mechanism_extra,,The certification may signal the greenness of the projects for which the bond proceeds are used in a more transparent way. It also alleviates information asymmetry for investors and lowers the greenwashing risk,11,,external third-party verification/assurance channel; author's own claim
Tang et al (2023),counter,,Greenwashing may be an important concern for green bond financing. Issuers may try to create an image of sustainable performance but poorly performing in environmental behaviors,2,,greenwashing noise weakens disclosure credibility; author's own framing
Tang et al (2023),counter,,"This supports the arguments that investors would not invest in green bonds if the returns are not competitive and green bond issuers would not benefit from a cheaper source of financing by issuing green bonds (e.g., Chiang, 2017).",9,,no green premium found; rationalizes null pricing benefit of greenness
Tang et al (2023),counter,,One possible reason for these finding is that it may be more difficult for financial institutions to signal the greenness of issued bonds by improving the EID quality than non-financial companies.,7,,conditional: signalling value of disclosure absent for financial issuers
Tang et al (2023),key_citation,,"The signaling argument suggests that green bond issuance provides a credible signal of an issuer's commitment to the environment, and is expected to elicit a stronger response when the green bond signal is provided to the market for the first time, as seen in Flammer (2021)",11,Flammer (2021),"central signaling anchor, used across hypotheses and moderators"
Tang et al (2023),key_citation,,"Based on a study of Chinese energy companies between 2008 and 2014, Fonseka et al. (2019) find that EID exerted a negative impact on the cost of debt.",2,Fonseka et al. (2019),direct environmental-disclosure-to-cost-of-debt anchor
Tang et al (2023),key_citation,,"Prior literature documents that hard environmental disclosure based on clear and verifiable data can effectively mitigate greenwashing risk (Clarkson et al., 2008).",2,"Clarkson et al., 2008",hard-disclosure anchor justifying green bonds as low-greenwashing setting
Tang et al (2023),status,,,,,"Energy Economics empirical paper on Chinese green bonds; unit is bond-level EID quality vs primary-market yield spread, not firm-level carbon performance."
Temiz (2022),frame_use,RISK,this study argues that superior EP should lower COF by reducing risk of ﬁrms which is one of the main drivers of cost of ﬁnance. Multiple theories support the risk reducing effects of EP.,pdf-5,,core claim: EP lowers cost of finance via firm risk reduction
Temiz (2022),frame_use,STAKE,"according to stakeholder theory (Jones, 1995), ﬁrms that present pro-environmental behavior and associated positive outcomes facilitate them to meet stakeholder expectations, strengthen corporate image and increase the reputation of the ﬁrms.",pdf-5,,"stakeholder expectations, corporate image and reputation channel"
Temiz (2022),frame_use,SIG,"Firms with better EP also tend to disclose their environmental information (Dhaliwal et al., 2011), leading to increased transparency for the ﬁrms. Increasing transparency reduces information asymmetries between the ﬁrm and the market and hence reduces ﬁrm risk.",pdf-6,,disclosure/transparency lowers information asymmetry and firm risk
Temiz (2022),frame_use,OTHER:RBV,"The natural resource-based perspective also provides useful insights about the risk reducing effects of environmentally responsible activities of ﬁrms (Hart, 1995). According to this view, superior environmental performance may provide moral capital and goodwill for ﬁrms",pdf-4,,natural-resource-based view; moral capital and goodwill reduce risk
Temiz (2022),mechanism_extra,,ﬁrms with poor EP may be exposed to the risk of bearing environmental costs (e.g. cleanup and compliance costs) in the future and thereby may not be able to fulﬁll their ﬁnancial obligations.,pdf-6,,future cleanup/compliance liabilities impair debt servicing; via Schneider
Temiz (2022),mechanism_extra,,"many studies argue that banks are becoming more sensitive to environmental issues and EP and the EP of ﬁrms is a signiﬁcant factor in lending decisions of banks (Herbohn et al., 2019; Jung et al., 2018).",pdf-6,,lender screening channel: banks price EP in lending decisions
Temiz (2022),counter,,"as stated in Wang et al. (2020), the transformative impact of social pressure on environmental strategies of ﬁrms is stronger in developed markets than in emerging markets. Therefore, results obtained from developed countries or from a single country may not be conﬁrmed by emerging markets.",pdf-3,,conditionality: weaker social pressure in emerging markets may attenuate link
Temiz (2022),paris_policy,,Palea and Drogo. (2020) found positive association between carbon emission and cost of debt ﬁnancing for ﬁrms operating in Eurozone. They also found that ﬁrms operating in less polluting industries have been penalized after the Paris Agreement.,pdf-5,,cited finding: post-Paris repricing of carbon in eurozone cost of debt
Temiz (2022),key_citation,,"Sharfman and Fernando (2008) argue that analysts and investors take into consideration the effective management of environmental risks, and thus ﬁrms with better environmental risk management would present lower capital costs.",pdf-3,Sharfman and Fernando (2008),central anchor: environmental risk management lowers cost of capital
Temiz (2022),key_citation,,"suppliers, local communities and the society (Jones, 1995). Firms can fulﬁll the stakeholders’ expectations by having superior environmental performance which in turn enhances their corporate image and reputation.",pdf-4,"Jones, 1995","instrumental stakeholder theory anchor, reused in hypothesis and discussion"
Temiz (2022),key_citation,,Bansal and Clelland (2004) argue that corporate environmental legitimacy is the environmental performance of the ﬁrm that is perceived by the society and meets the expectations in an appropriate manner.,pdf-6,Bansal and Clelland (2004),legitimacy anchor: corporate environmental legitimacy construct
Temiz (2022),status,,,,,"Emerald SAMPJ empirical archival paper (17 emerging markets); accepted manuscript, no printed folios so pages are pdf-N."
Trinh et al (2024),frame_use,OTHER:neo-institutional,"The theoretical framework of neo-institution (Meyer & Rowan, 1977) illustrates the effect of eco-innovation on a firm’s borrowing cost from two perspectives: legitimisation (moral and social view) and efficiency (economic view).",4,,core frame; NIT legitimisation vs efficiency routes to borrowing cost
Trinh et al (2024),frame_use,SIG,"Although lenders cannot observe the intrinsic corporate quality, a better firm could always formulate signalling mechanisms/devices (e.g., environmental policy transparency represented by eco-innovation scores) to reduce information asymmetry and minimise losses to debtholders (Derrien et al., 2016), thus obtaining better borrowing deals.",5,,eco-innovation score as signalling device cutting information asymmetry
